Ragione Sociale,Forma Giuridica,Settore,Anno Fondazione,Partita IVA,Categoria,Dipendenti,Fatturato (milioni €),Telefono,Email,Sito Web,Indirizzo,CAP,Città,Provincia,Descrizione
Emilia Legno S.r.l.,S.r.l.,Artigianato,2005,65196355021,Micro impresa,1,1.03,+39 045 6039271,contatti@emilialegno.it,,"Via XX Settembre, 45 - 80151 Napoli (NA)",80151,Napoli,NA,"PMI italiana attiva nel settore artigianato dal 2005. Con 1 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Metalengineering S.r.l.,S.r.l.,Alimentare,2015,27992637403,Micro impresa,1,1.06,+39 329 5797845,ufficio@metalengineering.it,https://www.metalengineering.it,"Via Garibaldi, 40 - 60095 Palermo (PA)",60095,Palermo,PA,Azienda a conduzione familiare con 10 anni di esperienza nel settore alimentare. Siamo una micro impresa con 1 dipendenti e un fatturato annuo di 1.06 milioni di euro.
Legnoenergy S.r.l.,S.r.l.,Meccanica,2018,70160576105,Micro impresa,6,0.4,+39 328 8327065,info@legnoenergy.it,https://www.legnoenergy.it,"Via Europa, 80 - 00184 Roma (RM)",00184,Roma,RM,"PMI italiana attiva nel settore meccanica dal 2018. Con 6 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Bruno Costruzioni Società cooperativa,Società cooperativa,Turismo,1983,56452020452,Micro impresa,7,1.71,+39 06 3437800,vendite@brunocostruzioni.it,https://www.brunocostruzioni.it,"Via Edison, 50 - 54095 Pescara (PE)",54095,Pescara,PE,"Fondata nel 1983, la nostra azienda opera nel settore turismo con 7 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Tessilecomponents S.r.l.,S.r.l.,Servizi alle imprese,2011,01024147215,Piccola impresa,11,8.06,+39 045 215541,vendite@tessilecomponents.it,https://www.tessilecomponents.it,"Viale delle Nazioni, 149 - 33017 Treviso (TV)",33017,Treviso,TV,"Realtà imprenditoriale italiana fondata nel 2011, specializzata nel settore servizi alle imprese. La nostra struttura conta 11 professionisti qualificati e ha un fatturato di 8.06 milioni di euro."
Barbieri & Giordano S.r.l.,S.r.l.,Alimentare,1996,61177334233,Piccola impresa,33,3.33,+39 328 4007706,vendite@barbieriegiordano.it,https://www.barbieriegiordano.it,"Via Fermi, 184 - 41069 Bolzano (BZ)",41069,Bolzano,BZ,"Realtà imprenditoriale italiana fondata nel 1996, specializzata nel settore alimentare. La nostra struttura conta 33 professionisti qualificati e ha un fatturato di 3.33 milioni di euro."
Idroexport S.p.A.,S.p.A.,Tessile,2010,50289562477,Micro impresa,7,0.1,+39 011 717210,contatti@idroexport.it,https://www.idroexport.it,"Via Bologna, 192 - 40106 Bologna (BO)",40106,Bologna,BO,"Da oltre 15 anni siamo specializzati nel settore tessile. La nostra azienda, con sede a Bologna, conta 7 collaboratori e un fatturato di 0.1 milioni di euro."
Alimentexport S.p.A.,S.p.A.,Alimentare,2017,56023752569,Micro impresa,8,0.69,+39 045 2264631,ufficio@alimentexport.it,,"Via Marconi, 67 - 80188 Napoli (NA)",80188,Napoli,NA,"PMI italiana attiva nel settore alimentare dal 2017. Con 8 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Marino Meccanica S.r.l.,S.r.l.,Trasporti,2018,29778199615,Piccola impresa,36,5.3,+39 06 4072345,amministrazione@marinomeccanica.it,https://www.marinomeccanica.it,"Via delle Industrie, 175 - 40173 Bologna (BO)",40173,Bologna,BO,"Fondata nel 2018, la nostra azienda opera nel settore trasporti con 36 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Legnosolutions S.a.s.,S.a.s.,Elettronica,1991,69340897046,Micro impresa,8,0.8,+39 360 8040583,vendite@legnosolutions.it,https://www.legnosolutions.it,"Via Edison, 188 - 17066 Pescara (PE)",17066,Pescara,PE,"Fondata nel 1991, la nostra azienda opera nel settore elettronica con 8 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Ricci Meccanica S.r.l.,S.r.l.,Trasporti,2001,59169365135,Micro impresa,7,0.9,+39 06 6988541,ufficio@riccimeccanica.it,https://www.riccimeccanica.it,"Via Bologna, 91 - 59060 Parma (PR)",59060,Parma,PR,"Fondata nel 2001, la nostra azienda opera nel settore trasporti con 7 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Rossi Meccanica,Ditta individuale,Legno e arredo,2023,01645959110,Piccola impresa,45,9.43,+39 055 8924004,ufficio@rossimeccanica.it,,"Via IV Novembre, 1 - 74029 Vicenza (VI)",74029,Vicenza,VI,"PMI italiana attiva nel settore legno e arredo dal 2023. Con 45 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Marino e Lombardi,Ditta individuale,Chimica,1994,96976939716,Micro impresa,1,0.96,+39 329 6281115,marinoelombardi@gmail.com,https://www.marinoelombardi.it,"Via XX Settembre, 90 - 00111 Roma (RM)",00111,Roma,RM,Azienda a conduzione familiare con 31 anni di esperienza nel settore chimica. Siamo una micro impresa con 1 dipendenti e un fatturato annuo di 0.96 milioni di euro.
Stampalogistic S.a.s.,S.a.s.,Edilizia,2000,91367083317,Piccola impresa,27,4.28,+39 091 2652334,stampalogistic@libero.it,https://www.stampalogistic.it,"Via Bologna, 104 - 37141 Verona (VR)",37141,Verona,VR,"PMI italiana attiva nel settore edilizia dal 2000. Con 27 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Bianchi & Moretti S.n.c.,S.n.c.,Trasporti,2012,72073679857,Micro impresa,8,1.64,+39 051 9566915,amministrazione@bianchiemoretti.it,https://www.bianchiemoretti.it,"Via Roma, 31 - 20154 Milano (MI)",20154,Milano,MI,Azienda a conduzione familiare con 13 anni di esperienza nel settore trasporti. Siamo una micro impresa con 8 dipendenti e un fatturato annuo di 1.64 milioni di euro.
Greco Trasporti Società cooperativa,Società cooperativa,Commercio,2007,93403431333,Micro impresa,1,1.62,+39 06 655337,grecotrasporti@gmail.com,https://www.grecotrasporti.it,"Via Napoli, 91 - 96085 Udine (UD)",96085,Udine,UD,"Da oltre 18 anni siamo specializzati nel settore commercio. La nostra azienda, con sede a Udine, conta 1 collaboratori e un fatturato di 1.62 milioni di euro."
V.A. S.r.l.,S.r.l.,Plastica,2013,89504342937,Micro impresa,7,1.21,+39 055 525748,ufficio@va.it,https://www.va.it,"Via Fermi, 13 - 00128 Roma (RM)",00128,Roma,RM,"Fondata nel 2013, la nostra azienda opera nel settore plastica con 7 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
F.F.H.M.,Ditta individuale,Servizi alla persona,2005,81128767812,Micro impresa,2,1.0,+39 02 9063897,contatti@ffhm.it,https://www.ffhm.it,"Via XXV Aprile, 182 - 70181 Bari (BA)",70181,Bari,BA,"Realtà imprenditoriale italiana fondata nel 2005, specializzata nel settore servizi alla persona. La nostra struttura conta 2 professionisti qualificati e ha un fatturato di 1.0 milioni di euro."
Toscana Tessile S.r.l.,S.r.l.,Tessile,2005,30832355313,Micro impresa,9,1.24,+39 02 7901885,ufficio@toscanatessile.it,https://www.toscanatessile.it,"Via XX Settembre, 175 - 80168 Napoli (NA)",80168,Napoli,NA,"Fondata nel 2005, la nostra azienda opera nel settore tessile con 9 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
L.A.J.I. S.a.s.,S.a.s.,Commercio,2016,65988585569,Micro impresa,6,0.64,+39 055 2274303,info@laji.it,https://www.laji.it,"Via Venezia, 107 - 35128 Padova (PD)",35128,Padova,PD,"PMI italiana attiva nel settore commercio dal 2016. Con 6 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Lombardi - Giordano,Ditta individuale,Turismo,2010,51602737066,Micro impresa,2,1.95,+39 389 8567300,contatti@lombardigiordano.it,,"Via dell'Industria, 46 - 69064 Pescara (PE)",69064,Pescara,PE,"Da oltre 15 anni siamo specializzati nel settore turismo. La nostra azienda, con sede a Pescara, conta 2 collaboratori e un fatturato di 1.95 milioni di euro."
S.U. S.n.c.,S.n.c.,Legno e arredo,1995,51515242360,Micro impresa,6,1.47,+39 081 8679253,contatti@su.it,https://www.su.it,"Via Firenze, 42 - 37042 Venezia (VE)",37042,Venezia,VE,"Realtà imprenditoriale italiana fondata nel 1995, specializzata nel settore legno e arredo. La nostra struttura conta 6 professionisti qualificati e ha un fatturato di 1.47 milioni di euro."
Barbieri-Costa S.n.c.,S.n.c.,Turismo,1999,59153448896,Micro impresa,8,0.25,+39 081 9971249,contatti@barbiericosta.it,,"Via Napoli, 40 - 11088 Ancona (AN)",11088,Ancona,AN,Azienda a conduzione familiare con 26 anni di esperienza nel settore turismo. Siamo una micro impresa con 8 dipendenti e un fatturato annuo di 0.25 milioni di euro.
U.G.P. S.a.s.,S.a.s.,Artigianato,2015,29670727613,Micro impresa,5,0.93,+39 055 2422931,amministrazione@ugp.it,https://www.ugp.it,"Via Mazzini, 152 - 96012 Reggio Emilia (RE)",96012,Reggio Emilia,RE,"PMI italiana attiva nel settore artigianato dal 2015. Con 5 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Brianza Meccanica S.r.l.s.,S.r.l.s.,Meccanica,1995,51501718641,Micro impresa,4,1.08,+39 055 1806947,brianzameccanica@pec.it,,"Via Napoli, 183 - 00143 Roma (RM)",00143,Roma,RM,"PMI italiana attiva nel settore meccanica dal 1995. Con 4 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Veneto Edile,Ditta individuale,Manifatturiero,2008,34759654990,Micro impresa,3,1.58,+39 389 9316084,vendite@venetoedile.it,https://www.venetoedile.it,"Via Venezia, 131 - 00143 Roma (RM)",00143,Roma,RM,"PMI italiana attiva nel settore manifatturiero dal 2008. Con 3 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Emilia Tessile S.r.l.,S.r.l.,Metalmeccanica,2024,77988543496,Micro impresa,5,0.28,+39 06 3674780,ufficio@emiliatessile.it,https://www.emiliatessile.it,"Via del Lavoro, 39 - 70148 Bari (BA)",70148,Bari,BA,"Fondata nel 2024, la nostra azienda opera nel settore metalmeccanica con 5 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
H.V.P.D. S.r.l.,S.r.l.,Agricoltura,2022,60670990257,Micro impresa,3,1.77,+39 370 3753605,hvpd@hotmail.it,https://www.hvpd.it,"Via Milano, 100 - 25131 Brescia (BS)",25131,Brescia,BS,"Realtà imprenditoriale italiana fondata nel 2022, specializzata nel settore agricoltura. La nostra struttura conta 3 professionisti qualificati e ha un fatturato di 1.77 milioni di euro."
R.U.Q. S.r.l.,S.r.l.,Servizi alla persona,2011,81543210998,Micro impresa,7,1.86,+39 06 3323900,ruq@virgilio.it,https://www.ruq.it,"Viale delle Nazioni, 186 - 10152 Torino (TO)",10152,Torino,TO,"Realtà imprenditoriale italiana fondata nel 2011, specializzata nel settore servizi alla persona. La nostra struttura conta 7 professionisti qualificati e ha un fatturato di 1.86 milioni di euro."
Elettrofood S.n.c.,S.n.c.,Edilizia,2018,02193016440,Micro impresa,8,1.34,+39 051 7746960,ufficio@elettrofood.it,https://www.elettrofood.it,"Via del Lavoro, 178 - 20152 Milano (MI)",20152,Milano,MI,"Realtà imprenditoriale italiana fondata nel 2018, specializzata nel settore edilizia. La nostra struttura conta 8 professionisti qualificati e ha un fatturato di 1.34 milioni di euro."
Ferrari - Greco S.r.l.,S.r.l.,Agricoltura,1996,18668205429,Micro impresa,1,0.43,+39 049 140435,amministrazione@ferrarigreco.it,https://www.ferrarigreco.it,"Via Firenze, 60 - 18073 Monza (MB)",18073,Monza,MB,Azienda a conduzione familiare con 29 anni di esperienza nel settore agricoltura. Siamo una micro impresa con 1 dipendenti e un fatturato annuo di 0.43 milioni di euro.
Vetrotech S.r.l.,S.r.l.,Servizi alle imprese,1999,00123290770,Micro impresa,6,0.25,+39 345 8534607,ufficio@vetrotech.it,https://www.vetrotech.it,"Via Roma, 189 - 89042 Venezia (VE)",89042,Venezia,VE,"PMI italiana attiva nel settore servizi alle imprese dal 1999. Con 6 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Colombo Meccanica S.r.l.,S.r.l.,Alimentare,2018,00929755943,Media impresa,149,46.37,+39 360 3875897,colombomeccanica@libero.it,https://www.colombomeccanica.it,"Via Garibaldi, 109 - 50189 Firenze (FI)",50189,Firenze,FI,"Realtà imprenditoriale italiana fondata nel 2018, specializzata nel settore alimentare. La nostra struttura conta 149 professionisti qualificati e ha un fatturato di 46.37 milioni di euro."
Esposito Edilizia S.a.s.,S.a.s.,Agricoltura,2022,61465316577,Media impresa,171,37.0,+39 010 6079142,vendite@espositoedilizia.it,https://www.espositoedilizia.it,"Via Garibaldi, 188 - 62011 Venezia (VE)",62011,Venezia,VE,Azienda a conduzione familiare con 3 anni di esperienza nel settore agricoltura. Siamo una media impresa con 171 dipendenti e un fatturato annuo di 37.0 milioni di euro.
D.W.I.,Ditta individuale,Elettronica,2022,48660525879,Piccola impresa,11,8.11,+39 055 2253001,amministrazione@dwi.it,https://www.dwi.it,"Via Fermi, 39 - 93045 Catania (CT)",93045,Catania,CT,Azienda a conduzione familiare con 3 anni di esperienza nel settore elettronica. Siamo una piccola impresa con 11 dipendenti e un fatturato annuo di 8.11 milioni di euro.
Lombardi-Moretti S.r.l.,S.r.l.,Legno e arredo,2013,11283354696,Micro impresa,2,0.31,+39 011 5487727,ufficio@lombardimoretti.it,,"Via Roma, 142 - 34090 Bergamo (BG)",34090,Bergamo,BG,"Da oltre 12 anni siamo specializzati nel settore legno e arredo. La nostra azienda, con sede a Bergamo, conta 2 collaboratori e un fatturato di 0.31 milioni di euro."
S.J.C.D. Società cooperativa,Società cooperativa,Chimica,2013,57669991342,Micro impresa,6,0.45,+39 045 8316461,contatti@sjcd.it,https://www.sjcd.it,"Viale della Repubblica, 34 - 38091 Vicenza (VI)",38091,Vicenza,VI,"Realtà imprenditoriale italiana fondata nel 2013, specializzata nel settore chimica. La nostra struttura conta 6 professionisti qualificati e ha un fatturato di 0.45 milioni di euro."
Edicomponents S.r.l.,S.r.l.,Commercio,2010,70849147266,Micro impresa,7,0.72,+39 328 1451445,ufficio@edicomponents.it,https://www.edicomponents.it,"Via I Maggio, 148 - 84029 Perugia (PG)",84029,Perugia,PG,"Da oltre 15 anni siamo specializzati nel settore commercio. La nostra azienda, con sede a Perugia, conta 7 collaboratori e un fatturato di 0.72 milioni di euro."
Rossi Meccanica S.r.l.,S.r.l.,Edilizia,2005,15810878190,Micro impresa,9,0.89,+39 045 3969809,info@rossimeccanica.it,,"Via Garibaldi, 39 - 10172 Torino (TO)",10172,Torino,TO,"Da oltre 20 anni siamo specializzati nel settore edilizia. La nostra azienda, con sede a Torino, conta 9 collaboratori e un fatturato di 0.89 milioni di euro."
Ferrari Legno,Ditta individuale,Metalmeccanica,2010,30475043728,Micro impresa,8,1.62,+39 045 8224610,ufficio@ferrarilegno.it,https://www.ferrarilegno.it,"Via IV Novembre, 117 - 77097 Bergamo (BG)",77097,Bergamo,BG,Azienda a conduzione familiare con 15 anni di esperienza nel settore metalmeccanica. Siamo una micro impresa con 8 dipendenti e un fatturato annuo di 1.62 milioni di euro.
Idroexport S.a.s.,S.a.s.,Servizi alla persona,1990,94461608428,Micro impresa,7,1.72,+39 081 6898352,amministrazione@idroexport.it,https://www.idroexport.it,"Via Europa, 51 - 84032 Prato (PO)",84032,Prato,PO,"Da oltre 35 anni siamo specializzati nel settore servizi alla persona. La nostra azienda, con sede a Prato, conta 7 collaboratori e un fatturato di 1.72 milioni di euro."
Ricci Legno Società cooperativa,Società cooperativa,Servizi alle imprese,2007,28734123317,Micro impresa,5,1.6,+39 010 4284697,ufficio@riccilegno.it,https://www.riccilegno.it,"Via Garibaldi, 85 - 63013 Perugia (PG)",63013,Perugia,PG,"Fondata nel 2007, la nostra azienda opera nel settore servizi alle imprese con 5 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
C.U.Z.C. S.r.l.,S.r.l.,Servizi alla persona,1998,06889757167,Micro impresa,1,0.09,+39 350 9790912,info@cuzc.it,https://www.cuzc.it,"Via Milano, 67 - 20187 Milano (MI)",20187,Milano,MI,"Da oltre 27 anni siamo specializzati nel settore servizi alla persona. La nostra azienda, con sede a Milano, conta 1 collaboratori e un fatturato di 0.09 milioni di euro."
Ricci Legno S.r.l.,S.r.l.,Trasporti,2020,80045785158,Micro impresa,3,1.71,+39 011 1450430,riccilegno@outlook.it,https://www.riccilegno.it,"Via XX Settembre, 23 - 43025 Vicenza (VI)",43025,Vicenza,VI,"PMI italiana attiva nel settore trasporti dal 2020. Con 3 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Umbria Vetro S.r.l.,S.r.l.,Servizi alle imprese,1991,69014249433,Micro impresa,9,0.97,+39 049 9186235,vendite@umbriavetro.it,https://www.umbriavetro.it,"Via dell'Artigianato, 13 - 10088 Reggio Emilia (RE)",10088,Reggio Emilia,RE,"PMI italiana attiva nel settore servizi alle imprese dal 1991. Con 9 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Q.Q.G.P. S.a.s.,S.a.s.,Servizi alla persona,2024,09345117169,Micro impresa,5,1.05,+39 011 8713824,amministrazione@qqgp.it,https://www.qqgp.it,"Via Torino, 162 - 63052 Palermo (PA)",63052,Palermo,PA,Azienda a conduzione familiare con 1 anni di esperienza nel settore servizi alla persona. Siamo una micro impresa con 5 dipendenti e un fatturato annuo di 1.05 milioni di euro.
Ferrari Meccanica S.n.c.,S.n.c.,Commercio,2013,87656825283,Micro impresa,6,1.9,+39 045 1543371,ferrarimeccanica@libero.it,https://www.ferrarimeccanica.it,"Viale della Repubblica, 45 - 52039 Modena (MO)",52039,Modena,MO,"Realtà imprenditoriale italiana fondata nel 2013, specializzata nel settore commercio. La nostra struttura conta 6 professionisti qualificati e ha un fatturato di 1.9 milioni di euro."
Agriquality S.a.s.,S.a.s.,Edilizia,1995,83513362621,Micro impresa,2,1.3,+39 06 2469042,amministrazione@agriquality.it,https://www.agriquality.it,"Via Venezia, 100 - 55035 Trento (TN)",55035,Trento,TN,"Da oltre 30 anni siamo specializzati nel settore edilizia. La nostra azienda, con sede a Trento, conta 2 collaboratori e un fatturato di 1.3 milioni di euro."
E.V.H.F. S.n.c.,S.n.c.,Agricoltura,1990,08215513078,Micro impresa,6,1.39,+39 06 8867843,amministrazione@evhf.it,https://www.evhf.it,"Via I Maggio, 129 - 98054 Venezia (VE)",98054,Venezia,VE,"Realtà imprenditoriale italiana fondata nel 1990, specializzata nel settore agricoltura. La nostra struttura conta 6 professionisti qualificati e ha un fatturato di 1.39 milioni di euro."
Biotech,Ditta individuale,Commercio,2015,92502193320,Micro impresa,3,1.39,+39 081 9628665,info@biotech.it,https://www.biotech.it,"Via IV Novembre, 24 - 80100 Napoli (NA)",80100,Napoli,NA,"Realtà imprenditoriale italiana fondata nel 2015, specializzata nel settore commercio. La nostra struttura conta 3 professionisti qualificati e ha un fatturato di 1.39 milioni di euro."
