Ragione Sociale,Forma Giuridica,Settore,Indirizzo,Città,Provincia,Email,Telefono,Cellulare,Sito Web,Anno Fondazione,Dipendenti,Fatturato,Descrizione,Stato,Data contatto,Data risposta,Note
Ricci Formazione,Ditta Individuale,Trasporti,"Via Verdi, 55, Lecce, Lecce",Lecce,Lecce,ricciformazione@hotmail.com,081 174485,,www.ricciformazione.net,2019,94,35701063,Azienda familiare con lunga tradizione nel settore trasporti e forte radicamento territoriale.,Non contattato,,,
EuroNetwork,Ditta Individuale,Commercio,"Via Mazzini, 28, Rivoli, Torino",Rivoli,Torino,info@euronetwork.com,055 358020,,,1970,161,38671546,PMI in crescita specializzata in prodotti e servizi commercio di alta qualità.,Non contattato,,,
NetSolutions,S.n.c.,Energia,"Via Catania, 53, Pinerolo, Torino",Pinerolo,Torino,info@netsolutions.it,045 584830,380 1653090,,2023,117,33625070,Forniamo soluzioni personalizzate per il settore energia a piccole e medie imprese.,Non contattato,,,
Gallo Design,S.a.s.,Formazione,"Via Marconi, 18, Altamura, Bari",Altamura,Bari,info@gallodesign.com,049 166644,,www.gallodesign.org,2001,217,23767180,Offriamo servizi e prodotti di alta qualità nel settore formazione dal 2001.,Non contattato,,,
Fontana Agricoltura,Cooperativa,Formazione,"Via Bologna, 27, Paternò, Catania",Paternò,Catania,contatti@fontanaagricoltura.it,030 045413,,www.fontanaagricoltura.eu,2018,160,15222295,Forniamo soluzioni personalizzate per il settore formazione a piccole e medie imprese.,Non contattato,,,
BioDevelopment,Cooperativa,Edilizia,"Via Modena, 105, Merano, Bolzano",Merano,Bolzano,info@biodevelopment.it,02 9348025,330 1498795,www.biodevelopment.net,1998,148,10415589,Dal 1998 operiamo con successo nel settore edilizia con clienti in tutta Italia.,Non contattato,,,
Mariani Tecnologia,S.p.A.,Servizi,"Via Roma, 21, Romano di Lombardia, Bergamo",Romano di Lombardia,Bergamo,marianitecnologia@gmail.com,010 857497,330 0190056,www.marianitecnologia.eu,2013,239,7774231,Offriamo servizi e prodotti di alta qualità nel settore servizi dal 2013.,Non contattato,,,
Giordano Manifatturiero,Ditta Individuale,Ristorazione,"Via Verdi, 89, Venezia, Venezia",Venezia,Venezia,giordanomanifatturiero@libero.it,055 749611,340 6983615,,1991,84,20968992,PMI specializzata in soluzioni ristorazione per il mercato italiano ed europeo.,Non contattato,,,
Mancini S.r.l.,S.p.A.,Automotive,"Via Marconi, 5, Jesi, Ancona",Jesi,Ancona,mancinisrl@tech.it,055 420643,,www.mancinisrl.org,2009,121,29021631,Forniamo soluzioni personalizzate per il settore automotive a piccole e medie imprese.,Non contattato,,,
Costa Automotive,Cooperativa,Servizi,"Via Leonardo da Vinci, 104, Bari, Bari",Bari,Bari,costaautomotive@azienda.com,080 950685,,www.costaautomotive.com,2014,225,17401217,PMI in crescita specializzata in prodotti e servizi servizi di alta qualità.,Non contattato,,,
Lombardi Meccanica,S.p.A.,Chimica,"Via Verona, 40, Adrano, Catania",Adrano,Catania,contatti@lombardimeccanica.it,080 746639,,www.lombardimeccanica.com,2023,23,26811364,PMI specializzata in soluzioni chimica per il mercato italiano ed europeo.,Non contattato,,,
Mariani Elettronica,S.n.c.,Elettronica,"Via Modena, 87, Napoli, Napoli",Napoli,Napoli,info@marianielettronica.com,041 506963,,www.marianielettronica.it,2019,144,43231343,PMI in crescita specializzata in prodotti e servizi elettronica di alta qualità.,Non contattato,,,
Caruso Servizi,S.n.c.,Edilizia,"Via Garibaldi, 67, Penne, Pescara",Penne,Pescara,info@carusoservizi.it,081 130478,391 7258118,,2019,142,35117350,Azienda leader nel settore edilizia con focus su innovazione e qualità.,Non contattato,,,
GreenProducts,S.a.s.,Servizi,"Via Modena, 98, Catania, Catania",Catania,Catania,greenproducts@yahoo.it,030 729923,390 2461915,,1980,62,39469234,Realtà consolidata nel panorama servizi con particolare attenzione alla sostenibilità.,Non contattato,,,
InfoManufacturing,S.r.l.,Immobiliare,"Via Roma, 27, Carpi, Modena",Carpi,Modena,infomanufacturing@gmail.com,081 646155,380 0762429,www.infomanufacturing.com,1996,112,28083803,Azienda familiare con lunga tradizione nel settore immobiliare e forte radicamento territoriale.,Non contattato,,,
Costa Alimentare,S.a.s.,Chimica,"Via Verdi, 25, Torino, Torino",Torino,Torino,contatti@costaalimentare.it,081 951331,,www.costaalimentare.eu,1997,197,46381893,Azienda innovativa nel campo chimica con un team di professionisti qualificati.,Non contattato,,,
LogicPartners,Cooperativa,Commercio,"Via Cavour, 77, Corato, Bari",Corato,Bari,contatti@logicpartners.it,045 851057,,www.logicpartners.net,2017,215,19879767,Dal 2017 operiamo con successo nel settore commercio con clienti in tutta Italia.,Non contattato,,,
Verdi Edilizia,Cooperativa,Consulenza,"Via Torino, 22, Merano, Bolzano",Merano,Bolzano,contatti@verdiedilizia.it,02 2205405,390 7769203,www.verdiedilizia.eu,1981,6,22823994,Realtà consolidata nel panorama consulenza con particolare attenzione alla sostenibilità.,Non contattato,,,
Ferrari Arredamento,Cooperativa,Automotive,"Via Mazzini, 115, Monza, Milano",Monza,Milano,info@ferrariarredamento.com,080 762797,360 5182955,www.ferrariarredamento.net,2014,150,34443381,Azienda innovativa nel campo automotive con un team di professionisti qualificati.,Non contattato,,,
Lombardi S.n.c.,Ditta Individuale,Formazione,"Via Cavour, 99, Monopoli, Bari",Monopoli,Bari,info@lombardisnc.it,049 917912,360 8910094,www.lombardisnc.net,1986,149,48098394,Azienda innovativa nel campo formazione con un team di professionisti qualificati.,Non contattato,,,
Conti Automotive,Cooperativa,Formazione,"Via Garibaldi, 22, Desenzano, Brescia",Desenzano,Brescia,info@contiautomotive.com,011 750375,370 2158505,,2023,90,29569959,Azienda familiare con lunga tradizione nel settore formazione e forte radicamento territoriale.,Non contattato,,,
Barbieri S.p.A.,S.r.l.,Elettronica,"Corso Italia, 26, Altamura, Bari",Altamura,Bari,barbierispa@enterprise.com,045 962619,,www.barbierispa.org,2021,97,35764493,PMI specializzata in soluzioni elettronica per il mercato italiano ed europeo.,Non contattato,,,
Moretti Ristorazione,S.n.c.,Consulenza,"Via Firenze, 107, Rivoli, Torino",Rivoli,Torino,info@morettiristorazione.com,030 803929,350 1186241,www.morettiristorazione.it,1999,225,4628112,PMI specializzata in soluzioni consulenza per il mercato italiano ed europeo.,Non contattato,,,
ProCompany,S.n.c.,Automotive,"Via Verdi, 109, Montesilvano, Pescara",Montesilvano,Pescara,info@procompany.com,041 402643,,www.procompany.com,1979,69,42143990,PMI specializzata in soluzioni automotive per il mercato italiano ed europeo.,Non contattato,,,
Bruno Trasporti,Cooperativa,Design,"Via Cavour, 31, Legnago, Verona",Legnago,Verona,info@brunotrasporti.it,02 3014425,,www.brunotrasporti.net,2007,226,7069635,La nostra missione è fornire eccellenza nel settore design con un approccio innovativo.,Non contattato,,,
Marino Ditta Individuale,S.n.c.,Elettronica,"Via Genova, 19, Pergine, Trento",Pergine,Trento,info@marinodittaindividuale.com,049 756736,,,2009,161,40566939,Azienda familiare con lunga tradizione nel settore elettronica e forte radicamento territoriale.,Non contattato,,,
NetIndustries,S.a.s.,Immobiliare,"Via Cavour, 27, Abano Terme, Padova",Abano Terme,Padova,info@netindustries.com,080 054919,390 3667652,www.netindustries.net,1988,41,37019152,PMI specializzata in soluzioni immobiliare per il mercato italiano ed europeo.,Non contattato,,,
Conti Logistica,S.a.s.,Manifatturiero,"Via Marconi, 34, Città Sant'Angelo, Pescara",Città Sant'Angelo,Pescara,info@contilogistica.it,010 195382,,www.contilogistica.net,2021,227,40671148,PMI in crescita specializzata in prodotti e servizi manifatturiero di alta qualità.,Non contattato,,,
DataGroup,S.r.l.,Edilizia,"Via Vittorio Emanuele, 75, Legnano, Milano",Legnano,Milano,datagroup@azienda.com,055 265004,390 1007683,www.datagroup.org,1970,242,44014529,Forniamo soluzioni personalizzate per il settore edilizia a piccole e medie imprese.,Non contattato,,,
Moretti S.r.l.,S.r.l.,Marketing,"Via Verona, 112, Montesilvano, Pescara",Montesilvano,Pescara,info@morettisrl.it,010 540866,340 0852417,www.morettisrl.com,2004,243,42792188,Dal 2004 operiamo con successo nel settore marketing con clienti in tutta Italia.,Non contattato,,,
Bruno Ditta Individuale,Cooperativa,Farmaceutico,"Via Verona, 126, Imola, Bologna",Imola,Bologna,brunodittaindividuale@company.it,049 910020,,www.brunodittaindividuale.org,2022,32,17365556,Azienda leader nel settore farmaceutico con focus su innovazione e qualità.,Non contattato,,,
BioServices,S.a.s.,Agricoltura,"Via Leonardo da Vinci, 15, Firenze, Firenze",Firenze,Firenze,contatti@bioservices.it,051 468122,360 3321020,www.bioservices.org,1988,44,46356072,Realtà consolidata nel panorama agricoltura con particolare attenzione alla sostenibilità.,Non contattato,,,
ProPartners,S.n.c.,Tecnologia,"Via Verdi, 58, Città Sant'Angelo, Pescara",Città Sant'Angelo,Pescara,info@propartners.com,041 682004,,www.propartners.net,1988,16,5742018,Dal 1988 operiamo con successo nel settore tecnologia con clienti in tutta Italia.,Non contattato,,,
AeroInnovations,S.r.l.,Ristorazione,"Via Leonardo da Vinci, 18, Riva del Garda, Trento",Riva del Garda,Trento,info@aeroinnovations.com,055 234682,,www.aeroinnovations.com,2022,167,106500,Azienda leader nel settore ristorazione con focus su innovazione e qualità.,Non contattato,,,
EuroSolutions,S.p.A.,Consulenza,"Via Palermo, 101, Bari, Bari",Bari,Bari,eurosolutions@group.it,081 654109,340 0049596,www.eurosolutions.eu,1975,84,478185,Azienda innovativa nel campo consulenza con un team di professionisti qualificati.,Non contattato,,,
Rizzo Ditta Individuale,Cooperativa,Alimentare,"Via Brescia, 149, Assisi, Perugia",Assisi,Perugia,contatti@rizzodittaindividuale.it,06 1674650,,,1976,140,14194218,Offriamo servizi e prodotti di alta qualità nel settore alimentare dal 1976.,Non contattato,,,
MechIndustries,Cooperativa,Agricoltura,"Via Catania, 137, Montesilvano, Pescara",Montesilvano,Pescara,info@mechindustries.it,011 934896,,www.mechindustries.org,1996,206,7249348,Azienda innovativa nel campo agricoltura con un team di professionisti qualificati.,Non contattato,,,
Romano Manifatturiero,S.p.A.,Tecnologia,"Via Brescia, 81, Genova, Genova",Genova,Genova,info@romanomanifatturiero.it,06 3038025,380 7663366,www.romanomanifatturiero.net,1986,55,25735196,PMI in crescita specializzata in prodotti e servizi tecnologia di alta qualità.,Non contattato,,,
Lombardi Elettronica,S.a.s.,Meccanica,"Via Brescia, 105, Formigine, Modena",Formigine,Modena,info@lombardielettronica.it,030 742091,,www.lombardielettronica.com,2014,6,24076874,Forniamo soluzioni personalizzate per il settore meccanica a piccole e medie imprese.,Non contattato,,,
Giordano Immobiliare,S.p.A.,Arredamento,"Via Venezia, 45, Nardò, Lecce",Nardò,Lecce,info@giordanoimmobiliare.it,081 939634,,,1995,115,25522044,Azienda leader nel settore arredamento con focus su innovazione e qualità.,Non contattato,,,
MechNetwork,Cooperativa,Tecnologia,"Via Garibaldi, 65, Bussolengo, Verona",Bussolengo,Verona,mechnetwork@azienda.com,080 229462,,,2010,34,28627345,Forniamo soluzioni personalizzate per il settore tecnologia a piccole e medie imprese.,Non contattato,,,
Moretti Farmaceutico,Cooperativa,Design,"Via Padova, 23, Quartu Sant'Elena, Cagliari",Quartu Sant'Elena,Cagliari,contatti@morettifarmaceutico.it,049 566872,,www.morettifarmaceutico.org,2022,118,15035149,Azienda innovativa nel campo design con un team di professionisti qualificati.,Non contattato,,,
MediManufacturing,Ditta Individuale,Ristorazione,"Via Palermo, 31, Verona, Verona",Verona,Verona,contatti@medimanufacturing.it,06 1667956,391 7419276,www.medimanufacturing.org,1987,227,3553038,Realtà consolidata nel panorama ristorazione con particolare attenzione alla sostenibilità.,Non contattato,,,
Barbieri S.n.c.,Ditta Individuale,Tessile,"Via Dante, 122, Ancona, Ancona",Ancona,Ancona,barbierisnc@azienda.com,081 027149,370 9894305,www.barbierisnc.eu,2001,138,22747408,Azienda familiare con lunga tradizione nel settore tessile e forte radicamento territoriale.,Non contattato,,,
Conti Manifatturiero,S.a.s.,Meccanica,"Via Padova, 146, Formigine, Modena",Formigine,Modena,info@contimanifatturiero.it,06 5549157,,,1981,77,34000390,Azienda familiare con lunga tradizione nel settore meccanica e forte radicamento territoriale.,Non contattato,,,
Greco S.p.A.,S.p.A.,Elettronica,"Via Venezia, 77, Nardò, Lecce",Nardò,Lecce,info@grecospa.it,080 154931,390 5788465,,1983,91,46662089,La nostra missione è fornire eccellenza nel settore elettronica con un approccio innovativo.,Non contattato,,,
Rizzo Design,S.r.l.,Agricoltura,"Via Palermo, 51, Desenzano, Brescia",Desenzano,Brescia,contatti@rizzodesign.it,02 1810213,,www.rizzodesign.net,1993,143,42910110,Azienda familiare con lunga tradizione nel settore agricoltura e forte radicamento territoriale.,Non contattato,,,
WebTechnologies,Cooperativa,Tessile,"Via Napoli, 17, Verona, Verona",Verona,Verona,info@webtechnologies.com,051 689176,350 8733708,www.webtechnologies.it,1977,120,12303450,Realtà consolidata nel panorama tessile con particolare attenzione alla sostenibilità.,Non contattato,,,
Colombo Logistica,Cooperativa,Agricoltura,"Via Torino, 99, Misterbianco, Catania",Misterbianco,Catania,contatti@colombologistica.it,011 601189,,www.colombologistica.com,1990,138,34231238,La nostra missione è fornire eccellenza nel settore agricoltura con un approccio innovativo.,Non contattato,,,
Mariani Arredamento,S.p.A.,Energia,"Via Marconi, 87, Imola, Bologna",Imola,Bologna,info@marianiarredamento.com,02 3071473,,www.marianiarredamento.org,1974,51,7133180,Azienda leader nel settore energia con focus su innovazione e qualità.,Non contattato,,,
Colombo S.r.l.,Cooperativa,Ristorazione,"Via Roma, 67, Bari, Bari",Bari,Bari,info@colombosrl.com,041 636231,370 7769145,,1995,172,47122615,Forniamo soluzioni personalizzate per il settore ristorazione a piccole e medie imprese.,Non contattato,,,
FoodPartners,Ditta Individuale,Commercio,"Via Firenze, 33, Adrano, Catania",Adrano,Catania,info@foodpartners.it,081 275123,340 9942975,,1979,61,38898494,Azienda familiare con lunga tradizione nel settore commercio e forte radicamento territoriale.,Non contattato,,,
Gallo Edilizia,S.a.s.,Arredamento,"Via Dante, 6, Monselice, Padova",Monselice,Padova,info@galloedilizia.it,030 000550,,,2004,33,34098035,PMI in crescita specializzata in prodotti e servizi arredamento di alta qualità.,Non contattato,,,
DataInnovations,Cooperativa,Design,"Via Bari, 25, Treviglio, Bergamo",Treviglio,Bergamo,info@datainnovations.it,011 092895,,,2011,77,32126280,Dal 2011 operiamo con successo nel settore design con clienti in tutta Italia.,Non contattato,,,
ElectroCompany,S.p.A.,Alimentare,"Via Leonardo da Vinci, 101, Verona, Verona",Verona,Verona,electrocompany@outlook.it,010 046124,,www.electrocompany.net,1985,180,28913137,Dal 1985 operiamo con successo nel settore alimentare con clienti in tutta Italia.,Non contattato,,,
CyberEnterprise,Ditta Individuale,Chimica,"Via Garibaldi, 149, Spoltore, Pescara",Spoltore,Pescara,contatti@cyberenterprise.it,02 1702423,320 1401786,www.cyberenterprise.org,2002,218,42233092,Forniamo soluzioni personalizzate per il settore chimica a piccole e medie imprese.,Non contattato,,,
TechGroup,Cooperativa,Marketing,"Via Genova, 34, Treviglio, Bergamo",Treviglio,Bergamo,info@techgroup.it,045 446180,350 8914524,www.techgroup.com,1978,63,10341722,Azienda familiare con lunga tradizione nel settore marketing e forte radicamento territoriale.,Non contattato,,,
Lombardi Ditta Individuale,Cooperativa,Marketing,"Via Cavour, 73, Empoli, Firenze",Empoli,Firenze,info@lombardidittaindividuale.it,081 865510,360 2187522,www.lombardidittaindividuale.com,2002,200,3731147,La nostra missione è fornire eccellenza nel settore marketing con un approccio innovativo.,Non contattato,,,
Ferrara Consulenza,S.p.A.,Meccanica,"Via Genova, 85, Civitavecchia, Roma",Civitavecchia,Roma,ferraraconsulenza@azienda.com,041 125286,370 8174640,www.ferraraconsulenza.net,1984,40,13066830,PMI in crescita specializzata in prodotti e servizi meccanica di alta qualità.,Non contattato,,,
SoftDevelopment,S.a.s.,Edilizia,"Via Bologna, 75, Treviglio, Bergamo",Treviglio,Bergamo,softdevelopment@yahoo.it,02 8681859,340 4599040,www.softdevelopment.net,1994,221,8700613,Realtà consolidata nel panorama edilizia con particolare attenzione alla sostenibilità.,Non contattato,,,
Esposito S.a.s.,S.a.s.,Edilizia,"Corso Italia, 110, Sesto Fiorentino, Firenze",Sesto Fiorentino,Firenze,espositosas@company.it,051 243354,360 7513797,www.espositosas.eu,2007,132,5110240,Azienda familiare con lunga tradizione nel settore edilizia e forte radicamento territoriale.,Non contattato,,,
Greco Ristorazione,S.r.l.,Tecnologia,"Via Genova, 97, Assemini, Cagliari",Assemini,Cagliari,contatti@grecoristorazione.it,081 251277,,www.grecoristorazione.it,1981,114,42741730,Azienda familiare con lunga tradizione nel settore tecnologia e forte radicamento territoriale.,Non contattato,,,
SystemCompany,S.a.s.,Manifatturiero,"Via Verona, 91, Collecchio, Parma",Collecchio,Parma,systemcompany@group.it,030 508457,390 0571747,www.systemcompany.it,2002,6,17688109,La nostra missione è fornire eccellenza nel settore manifatturiero con un approccio innovativo.,Non contattato,,,
GeoInternational,S.r.l.,Immobiliare,"Via Garibaldi, 142, Tivoli, Roma",Tivoli,Roma,info@geointernational.it,010 858592,,www.geointernational.eu,1994,129,45021021,La nostra missione è fornire eccellenza nel settore immobiliare con un approccio innovativo.,Non contattato,,,
Mancini Consulenza,Cooperativa,Energia,"Via Vittorio Emanuele, 131, Legnago, Verona",Legnago,Verona,info@manciniconsulenza.it,011 688476,,www.manciniconsulenza.eu,1982,157,43390109,Forniamo soluzioni personalizzate per il settore energia a piccole e medie imprese.,Non contattato,,,
Romano Marketing,S.a.s.,Consulenza,"Via Venezia, 113, Rapallo, Genova",Rapallo,Genova,info@romanomarketing.com,045 819500,330 4382308,www.romanomarketing.org,2014,88,11621340,Azienda innovativa nel campo consulenza con un team di professionisti qualificati.,Non contattato,,,
HydroTechnologies,S.p.A.,Tecnologia,"Via Venezia, 32, Lecce, Lecce",Lecce,Lecce,contatti@hydrotechnologies.it,081 133374,360 0946133,www.hydrotechnologies.eu,1998,197,45843346,La nostra missione è fornire eccellenza nel settore tecnologia con un approccio innovativo.,Non contattato,,,
Bianchi Design,S.p.A.,Chimica,"Via Venezia, 73, Formigine, Modena",Formigine,Modena,bianchidesign@outlook.it,049 165931,320 3299219,,2009,112,33024654,Offriamo servizi e prodotti di alta qualità nel settore chimica dal 2009.,Non contattato,,,
Ricci Meccanica,S.n.c.,Immobiliare,"Via Verdi, 117, Montichiari, Brescia",Montichiari,Brescia,contatti@riccimeccanica.it,041 631537,,www.riccimeccanica.eu,1994,40,41237965,Dal 1994 operiamo con successo nel settore immobiliare con clienti in tutta Italia.,Non contattato,,,
Romano Energia,Cooperativa,Commercio,"Via Venezia, 88, Lavagna, Genova",Lavagna,Genova,contatti@romanoenergia.it,080 599855,370 8724830,www.romanoenergia.org,2008,80,3400112,Offriamo servizi e prodotti di alta qualità nel settore commercio dal 2008.,Non contattato,,,
Mancini Commercio,Cooperativa,Arredamento,"Via Roma, 91, Cittadella, Padova",Cittadella,Padova,info@mancinicommercio.com,080 942059,,www.mancinicommercio.com,2002,17,1547585,Azienda leader nel settore arredamento con focus su innovazione e qualità.,Non contattato,,,
CyberIndustries,Cooperativa,Turismo,"Via Leonardo da Vinci, 82, Treviglio, Bergamo",Treviglio,Bergamo,cyberindustries@business.it,011 315097,,www.cyberindustries.net,1989,155,27014905,PMI in crescita specializzata in prodotti e servizi turismo di alta qualità.,Non contattato,,,
Rossi S.n.c.,S.r.l.,Ristorazione,"Via Brescia, 18, Cagliari, Cagliari",Cagliari,Cagliari,info@rossisnc.it,011 389614,340 9741755,www.rossisnc.com,1986,26,40458904,Azienda familiare con lunga tradizione nel settore ristorazione e forte radicamento territoriale.,Non contattato,,,
ElectroInternational,S.a.s.,Trasporti,"Via Leonardo da Vinci, 90, Empoli, Firenze",Empoli,Firenze,info@electrointernational.it,041 072433,330 9191425,www.electrointernational.net,2006,99,9172599,Azienda familiare con lunga tradizione nel settore trasporti e forte radicamento territoriale.,Non contattato,,,
SystemServices,S.p.A.,Energia,"Via Torino, 94, Langhirano, Parma",Langhirano,Parma,info@systemservices.com,049 164704,,www.systemservices.org,1992,48,29739841,PMI in crescita specializzata in prodotti e servizi energia di alta qualità.,Non contattato,,,
Mariani Ristorazione,Ditta Individuale,Farmaceutico,"Via Mazzini, 13, Jesolo, Venezia",Jesolo,Venezia,contatti@marianiristorazione.it,030 743394,390 0706966,www.marianiristorazione.com,1986,98,35234803,Offriamo servizi e prodotti di alta qualità nel settore farmaceutico dal 1986.,Non contattato,,,
MediItalia,S.r.l.,Commercio,"Via Padova, 1, Afragola, Napoli",Afragola,Napoli,contatti@mediitalia.it,055 996654,,www.mediitalia.it,1998,25,15346846,Offriamo servizi e prodotti di alta qualità nel settore commercio dal 1998.,Non contattato,,,
Caruso Ditta Individuale,S.a.s.,Servizi,"Via Marconi, 78, Quartu Sant'Elena, Cagliari",Quartu Sant'Elena,Cagliari,contatti@carusodittaindividuale.it,055 550738,,www.carusodittaindividuale.org,2016,192,46953653,Azienda leader nel settore servizi con focus su innovazione e qualità.,Non contattato,,,
Gallo Servizi,S.a.s.,Marketing,"Via Verona, 15, Montesilvano, Pescara",Montesilvano,Pescara,info@galloservizi.com,030 018230,,www.galloservizi.org,2017,243,37261508,Azienda leader nel settore marketing con focus su innovazione e qualità.,Non contattato,,,
Ferrari Ditta Individuale,S.r.l.,Design,"Via Mazzini, 82, Carini, Palermo",Carini,Palermo,contatti@ferraridittaindividuale.it,010 230234,,www.ferraridittaindividuale.eu,2023,144,44333923,Forniamo soluzioni personalizzate per il settore design a piccole e medie imprese.,Non contattato,,,
NetNetwork,S.n.c.,Manifatturiero,"Via Torino, 10, Selargius, Cagliari",Selargius,Cagliari,info@netnetwork.com,049 046911,,www.netnetwork.com,1975,63,22796474,PMI in crescita specializzata in prodotti e servizi manifatturiero di alta qualità.,Non contattato,,,
GeoSolutions,Ditta Individuale,Chimica,"Via Genova, 107, Castel Maggiore, Bologna",Castel Maggiore,Bologna,contatti@geosolutions.it,041 638276,320 3870686,www.geosolutions.eu,1971,58,41704149,Dal 1971 operiamo con successo nel settore chimica con clienti in tutta Italia.,Non contattato,,,
Giordano S.n.c.,Ditta Individuale,Meccanica,"Via Firenze, 102, Padova, Padova",Padova,Padova,giordanosnc@enterprise.com,02 1484255,391 2487723,www.giordanosnc.org,1988,22,24998861,Realtà consolidata nel panorama meccanica con particolare attenzione alla sostenibilità.,Non contattato,,,
Ferrara Commercio,S.n.c.,Servizi,"Via Milano, 104, Sassuolo, Modena",Sassuolo,Modena,contatti@ferraracommercio.it,080 244923,,www.ferraracommercio.com,1980,114,25492739,Realtà consolidata nel panorama servizi con particolare attenzione alla sostenibilità.,Non contattato,,,
AutoTech,S.n.c.,Trasporti,"Via Vittorio Emanuele, 72, Copertino, Lecce",Copertino,Lecce,contatti@autotech.it,080 265415,350 6178819,,2001,133,24322514,Dal 2001 operiamo con successo nel settore trasporti con clienti in tutta Italia.,Non contattato,,,
Bruno Elettronica,Ditta Individuale,Formazione,"Via Genova, 55, Casoria, Napoli",Casoria,Napoli,contatti@brunoelettronica.it,081 761596,390 1202138,www.brunoelettronica.it,1987,200,15754692,La nostra missione è fornire eccellenza nel settore formazione con un approccio innovativo.,Non contattato,,,
Mancini Alimentare,S.a.s.,Logistica,"Via Modena, 16, Monza, Milano",Monza,Milano,contatti@mancinialimentare.it,055 944630,330 6454947,www.mancinialimentare.it,1991,236,16260990,PMI in crescita specializzata in prodotti e servizi logistica di alta qualità.,Non contattato,,,
Ferrara Immobiliare,S.n.c.,Energia,"Via Palermo, 59, Penne, Pescara",Penne,Pescara,info@ferraraimmobiliare.com,080 766332,350 8910372,www.ferraraimmobiliare.org,1993,94,4611267,PMI in crescita specializzata in prodotti e servizi energia di alta qualità.,Non contattato,,,
AutoEnterprise,S.p.A.,Immobiliare,"Via Modena, 2, Bologna, Bologna",Bologna,Bologna,autoenterprise@hotmail.com,041 417723,,www.autoenterprise.org,2019,99,27777605,Azienda leader nel settore immobiliare con focus su innovazione e qualità.,Non contattato,,,
